index,log_rv,ac1_5m,hurst_price_5m,hurst_rv_5m,hurst_regime
2025-08-04 13:40:00+05:30,-8.710267,-0.321148,0.514579,0.883110,Noise
2025-08-04 13:45:00+05:30,-7.824248,-0.268907,0.514579,0.883110,Noise
2025-08-04 13:50:00+05:30,-8.954580,-0.254325,0.514579,0.883110,Noise
2025-08-04 13:55:00+05:30,-9.531329,-0.248624,0.514579,0.883110,Noise
2025-08-04 14:00:00+05:30,-7.458925,-0.221052,0.514579,0.883110,Noise
2025-08-04 14:05:00+05:30,-9.153203,-0.251101,0.464978,0.945682,Noise
2025-08-04 14:10:00+05:30,-9.167572,-0.270651,0.464978,0.945682,Noise
2025-08-04 14:15:00+05:30,-8.641491,-0.269595,0.464978,0.945682,Noise
2025-08-04 14:20:00+05:30,-8.405720,-0.269226,0.464978,0.945682,Noise
2025-08-04 14:25:00+05:30,-9.686602,-0.269117,0.464978,0.945682,Noise
2025-08-04 14:30:00+05:30,-8.515890,-0.275779,0.514438,0.912655,Noise
2025-08-04 14:35:00+05:30,-8.332757,-0.284016,0.514438,0.912655,Noise
2025-08-04 14:40:00+05:30,-8.339511,-0.213070,0.514438,0.912655,Noise
2025-08-04 14:45:00+05:30,-7.829757,-0.263381,0.514438,0.912655,Noise
2025-08-04 14:50:00+05:30,-8.716455,-0.196651,0.514438,0.912655,Noise
2025-08-04 14:55:00+05:30,-9.385917,-0.203325,0.556582,0.946579,P
2025-08-04 15:00:00+05:30,-8.322452,-0.201604,0.556582,0.946579,P
2025-08-04 15:05:00+05:30,-9.325018,-0.094075,0.556582,0.946579,P
2025-08-04 15:10:00+05:30,-8.807108,-0.106446,0.556582,0.946579,P
2025-08-04 15:15:00+05:30,-9.268424,-0.110726,0.556582,0.946579,P
2025-08-04 15:20:00+05:30,-9.197900,-0.098054,0.549124,0.906808,Noise
2025-08-04 15:25:00+05:30,-8.740135,-0.142193,0.549124,0.906808,Noise
2025-08-04 15:30:00+05:30,-9.118074,-0.123232,0.549124,0.906808,Noise
2025-08-05 09:15:00+05:30,-7.738036,-0.122209,0.549124,0.906808,Noise
2025-08-05 09:20:00+05:30,-7.821501,-0.036762,0.549124,0.906808,Noise
2025-08-05 09:25:00+05:30,-10.235196,-0.027277,0.466053,0.959294,Noise
2025-08-05 09:30:00+05:30,-8.291201,-0.052068,0.466053,0.959294,Noise
2025-08-05 09:35:00+05:30,-8.316284,0.006275,0.466053,0.959294,Noise
2025-08-05 09:40:00+05:30,-8.533059,-0.010817,0.466053,0.959294,Noise
2025-08-05 09:45:00+05:30,-8.466871,-0.022413,0.466053,0.959294,Noise
2025-08-05 09:50:00+05:30,-8.546694,-0.086671,0.535708,0.911730,Noise
2025-08-05 09:55:00+05:30,-7.803260,-0.106567,0.535708,0.911730,Noise
2025-08-05 10:00:00+05:30,-8.112440,-0.120845,0.535708,0.911730,Noise
2025-08-05 10:05:00+05:30,-8.464418,-0.054567,0.535708,0.911730,Noise
2025-08-05 10:10:00+05:30,-7.963669,-0.024118,0.535708,0.911730,Noise
2025-08-05 10:15:00+05:30,-8.951218,-0.069856,0.562032,0.934041,P
2025-08-05 10:20:00+05:30,-8.791648,-0.029963,0.562032,0.934041,P
2025-08-05 10:25:00+05:30,-8.338368,-0.055371,0.562032,0.934041,P
2025-08-05 10:30:00+05:30,-8.266732,-0.033250,0.562032,0.934041,P
2025-08-05 10:35:00+05:30,-8.316713,-0.079147,0.562032,0.934041,P
2025-08-05 10:40:00+05:30,-7.741665,-0.099726,0.528467,0.907923,Noise
2025-08-05 10:45:00+05:30,-8.855881,-0.119120,0.528467,0.907923,Noise
2025-08-05 10:50:00+05:30,-8.900460,-0.072051,0.528467,0.907923,Noise
2025-08-05 10:55:00+05:30,-9.036491,-0.135088,0.528467,0.907923,Noise
2025-08-05 11:00:00+05:30,-9.460816,-0.146257,0.528467,0.907923,Noise
2025-08-05 11:05:00+05:30,-9.265092,-0.159387,0.489710,0.906738,Noise
2025-08-05 11:10:00+05:30,-9.833954,-0.206702,0.489710,0.906738,Noise
2025-08-05 11:15:00+05:30,-8.417542,-0.148745,0.489710,0.906738,Noise
2025-08-05 11:20:00+05:30,-8.612583,-0.135901,0.489710,0.906738,Noise
2025-08-05 11:25:00+05:30,-8.771162,-0.151808,0.489710,0.906738,Noise
2025-08-05 11:30:00+05:30,-8.581469,-0.139835,0.512468,0.884705,Noise
2025-08-05 11:35:00+05:30,-8.876030,-0.163407,0.512468,0.884705,Noise
2025-08-05 11:40:00+05:30,-8.800191,-0.144184,0.512468,0.884705,Noise
2025-08-05 11:45:00+05:30,-9.284548,-0.205105,0.512468,0.884705,Noise
2025-08-05 11:50:00+05:30,-8.574645,-0.215321,0.512468,0.884705,Noise
2025-08-05 11:55:00+05:30,-8.690091,-0.211543,0.475192,0.914638,Noise
2025-08-05 12:00:00+05:30,-8.654417,-0.218605,0.475192,0.914638,Noise
2025-08-05 12:05:00+05:30,-9.223265,-0.268724,0.475192,0.914638,Noise
2025-08-05 12:10:00+05:30,-8.158043,-0.228839,0.475192,0.914638,Noise
2025-08-05 12:15:00+05:30,-8.678127,-0.226834,0.475192,0.914638,Noise
2025-08-05 12:20:00+05:30,-8.894875,-0.235736,0.425844,0.894795,AP
2025-08-05 12:25:00+05:30,-8.642405,-0.221696,0.425844,0.894795,AP
2025-08-05 12:30:00+05:30,-8.277917,-0.230833,0.425844,0.894795,AP
2025-08-05 12:35:00+05:30,-8.834594,-0.192714,0.425844,0.894795,AP
2025-08-05 12:40:00+05:30,-9.144078,-0.144002,0.425844,0.894795,AP
2025-08-05 12:45:00+05:30,-8.782796,-0.180048,0.474735,0.887786,Noise
2025-08-05 12:50:00+05:30,-9.204504,-0.137447,0.474735,0.887786,Noise
2025-08-05 12:55:00+05:30,-9.437008,-0.209823,0.474735,0.887786,Noise
2025-08-05 13:00:00+05:30,-8.374588,-0.172203,0.474735,0.887786,Noise
2025-08-05 13:05:00+05:30,-9.569123,-0.107618,0.474735,0.887786,Noise
2025-08-05 13:10:00+05:30,-8.403674,-0.135225,0.508234,0.847413,Noise
